time	V(1)	V(20)
Step Information: Amplitude=30m Frequency=1K  (Step: 1/36)
1.445184389657474e-03	1.012943e-02	7.813514e-02
1.472528139657474e-03	5.152648e-03	2.882427e-02
1.476434389657474e-03	4.425799e-03	2.189682e-02
1.478387514657474e-03	4.061348e-03	1.853358e-02
1.480340639657474e-03	3.696286e-03	1.529033e-02
1.481923369932432e-03	3.400043e-03	1.281492e-02
1.483548094836808e-03	3.095591e-03	1.047091e-02
1.484658000078432e-03	2.887422e-03	9.024499e-03
1.485586646843940e-03	2.713141e-03	7.954796e-03
1.486419330419959e-03	2.556791e-03	7.108937e-03
1.487119453678396e-03	2.425276e-03	6.480172e-03
1.488324249537971e-03	2.198854e-03	5.557840e-03
1.490521345488581e-03	1.785628e-03	4.090121e-03
1.491117172197240e-03	1.673504e-03	3.641578e-03
1.491877347194809e-03	1.530419e-03	2.994643e-03
1.493083867046291e-03	1.303250e-03	1.815155e-03
1.495036992046291e-03	9.353533e-04	-3.294306e-04
1.499475115130244e-03	9.893829e-05	-5.524618e-03
1.499945902269749e-03	1.019718e-05	-6.188435e-03
1.500195501767324e-03	-3.685120e-05	-6.639753e-03
1.500397432903609e-03	-7.491426e-05	-7.064801e-03
1.500568035964722e-03	-1.070720e-04	-7.487514e-03
1.500738230463571e-03	-1.391527e-04	-7.979306e-03
1.500895755270289e-03	-1.688450e-04	-8.505807e-03
1.501160163413484e-03	-2.186837e-04	-9.577969e-03
1.501395202363936e-03	-2.629861e-04	-1.076772e-02
1.501663611591059e-03	-3.135777e-04	-1.242085e-02
1.501815275538811e-03	-3.421640e-04	-1.348556e-02
1.502226535449920e-03	-4.196783e-04	-1.669616e-02
1.502776780639768e-03	-5.233843e-04	-2.112260e-02
1.503190800235583e-03	-6.014114e-04	-2.409060e-02
1.503507399303969e-03	-6.610757e-04	-2.605586e-02
1.503727182384199e-03	-7.024931e-04	-2.719982e-02
1.504037346910677e-03	-7.609404e-04	-2.855945e-02
1.504343681868122e-03	-8.186631e-04	-2.969386e-02
1.504700927686438e-03	-8.859751e-04	-3.078368e-02
1.505415419323072e-03	-1.020586e-03	-3.260257e-02
1.506820333704561e-03	-1.285209e-03	-3.558130e-02
1.521655061818877e-03	-4.069300e-03	-6.381401e-02
1.545092561818877e-03	-8.386486e-03	-1.070308e-01
1.568530061818877e-03	-1.252213e-02	-1.482453e-01
1.591967561818877e-03	-1.638671e-02	-1.866411e-01
1.615405061818877e-03	-1.989657e-02	-2.214052e-01
1.638842561818877e-03	-2.297572e-02	-2.517920e-01
1.662280061818877e-03	-2.555752e-02	-2.771468e-01
1.683764436818877e-03	-2.743931e-02	-2.954987e-01
1.705248811818877e-03	-2.882186e-02	-3.088282e-01
1.726733186818877e-03	-2.968000e-02	-3.168932e-01
1.748217561818877e-03	-2.999812e-02	-3.195475e-01
1.769701936818877e-03	-2.977043e-02	-3.167431e-01
1.791186311818877e-03	-2.900108e-02	-3.085315e-01
1.812670686818877e-03	-2.770406e-02	-2.950625e-01
1.836108186818877e-03	-2.571530e-02	-2.746642e-01
1.859545686818877e-03	-2.316989e-02	-2.487460e-01
1.882983186818877e-03	-2.012292e-02	-2.178706e-01
1.906420686818877e-03	-1.664035e-02	-1.827098e-01
1.929858186818877e-03	-1.279756e-02	-1.440321e-01
1.953295686818877e-03	-8.677747e-03	-1.026945e-01
1.980639436818874e-03	-3.640387e-03	-5.242740e-02
1.994311311818873e-03	-1.072064e-03	-2.725351e-02
1.998217561818872e-03	-3.359746e-04	-2.032297e-02
2.000000000000000e-03	-1.469576e-17	-1.725569e-02
Step Information: Amplitude=40m Frequency=1K  (Step: 2/36)
0.000000000000000e+00	0.000000e+00	-1.555982e-02
3.199999980552093e-07	8.042472e-05	-1.549822e-02
8.647885445611418e-07	2.173440e-04	-1.511184e-02
1.169238454993798e-06	2.938590e-04	-1.477031e-02
1.609641937070802e-06	4.045402e-04	-1.416039e-02
4.720811709982451e-06	1.186295e-03	-9.213901e-03
5.511336953769171e-06	1.384873e-03	-8.098448e-03
6.202958197205348e-06	1.558579e-03	-7.252042e-03
6.826288815371500e-06	1.715108e-03	-6.585068e-03
7.870657770761284e-06	1.977306e-03	-5.641313e-03
9.740061186453468e-06	2.446417e-03	-4.160010e-03
1.022306145125826e-05	2.567569e-03	-3.722689e-03
1.082081662064818e-05	2.717473e-03	-3.110463e-03
1.169000710260429e-05	2.935378e-03	-2.080527e-03
1.342838806651650e-05	3.370919e-03	2.512763e-04
1.642936014029790e-05	4.121819e-03	4.575836e-03
1.707365570918514e-05	4.282852e-03	5.562487e-03
1.732169234172372e-05	4.344827e-03	6.004614e-03
1.745619993116561e-05	4.378431e-03	6.294858e-03
1.763642104117348e-05	4.423450e-03	6.753805e-03
1.779435056504022e-05	4.462896e-03	7.226657e-03
1.792553598796588e-05	4.495660e-03	7.690005e-03
1.804328277304074e-05	4.525064e-03	8.173263e-03
1.823649569456029e-05	4.573308e-03	9.126221e-03
1.840138071804301e-05	4.614474e-03	1.013811e-02
1.856221397854113e-05	4.654624e-03	1.131606e-02
1.876235822338006e-05	4.704580e-03	1.305952e-02
1.886706503627956e-05	4.730712e-03	1.408969e-02
1.902383374483171e-05	4.769834e-03	1.575200e-02
1.962334071275420e-05	4.919397e-03	2.259107e-02
1.994752180295319e-05	5.000244e-03	2.600786e-02
2.020530954057803e-05	5.064518e-03	2.837875e-02
2.051691140185813e-05	5.142192e-03	3.077011e-02
2.077011794241810e-05	5.205296e-03	3.236535e-02
2.106906243434551e-05	5.279780e-03	3.388795e-02
2.143320680232088e-05	5.370485e-03	3.541102e-02
2.229931831943767e-05	5.586111e-03	3.822004e-02
2.570993913358769e-05	6.433546e-03	4.705990e-02
4.130377038819073e-05	1.026464e-02	8.563305e-02
6.083502038819075e-05	1.491990e-02	1.321307e-01
8.036627038819076e-05	1.935076e-02	1.762353e-01
1.018506453881908e-04	2.388610e-02	2.212554e-01
1.233350203881908e-04	2.798684e-02	2.618394e-01
1.448193953881908e-04	3.157836e-02	2.972562e-01
1.663037703881908e-04	3.459532e-02	3.268650e-01
1.877881453881908e-04	3.698283e-02	3.501293e-01
2.092725203881909e-04	3.869745e-02	3.666271e-01
2.307568953881909e-04	3.970798e-02	3.760593e-01
2.522412703881909e-04	3.999604e-02	3.782552e-01
2.737256453881909e-04	3.955637e-02	3.731758e-01
2.952100203881909e-04	3.839699e-02	3.609143e-01
3.166943953881910e-04	3.653898e-02	3.416946e-01
3.381787703881910e-04	3.401616e-02	3.158678e-01
3.596631453881910e-04	3.087443e-02	2.839055e-01
3.811475203881910e-04	2.717094e-02	2.463916e-01
4.026318953881910e-04	2.297308e-02	2.040135e-01
4.241162703881910e-04	1.835724e-02	1.575524e-01
4.436475203881911e-04	1.386884e-02	1.125060e-01
4.651318953881911e-04	8.693376e-03	6.081936e-02
4.788037703881911e-04	5.311460e-03	2.767031e-02
4.807568953881911e-04	4.824545e-03	2.309232e-02
4.827100203881911e-04	4.336903e-03	1.865438e-02
4.843868781106139e-04	3.917715e-03	1.502664e-02
4.855037024594642e-04	3.638281e-03	1.277259e-02
4.865702478629842e-04	3.371261e-03	1.078197e-02
4.872674798968405e-04	3.196619e-03	9.599762e-03
4.880731430992130e-04	2.994741e-03	8.374742e-03
4.886605165644560e-04	2.847512e-03	7.579690e-03
4.892960502310204e-04	2.688168e-03	6.823210e-03
4.898511665338737e-04	2.548952e-03	6.238756e-03
4.908210623696147e-04	2.305640e-03	5.368053e-03
4.921701921780276e-04	1.967052e-03	4.293494e-03
4.926434714879617e-04	1.848239e-03	3.887613e-03
4.931718913218981e-04	1.715565e-03	3.385364e-03
4.938915210936486e-04	1.534851e-03	2.600302e-03
4.953307806371495e-04	1.173335e-03	8.036523e-04
4.969009683396657e-04	7.788224e-04	-1.353116e-03
4.992927645428993e-04	1.777471e-04	-4.754292e-03
4.999178544379666e-04	2.064543e-05	-5.674550e-03
5.001418267489707e-04	-3.564495e-05	-6.049925e-03
5.002831992481521e-04	-7.117569e-05	-6.329740e-03
5.004835977266111e-04	-1.215412e-04	-6.791252e-03
5.006531453683764e-04	-1.641529e-04	-7.248682e-03
5.007938417264939e-04	-1.995134e-04	-7.696676e-03
5.009264353687465e-04	-2.328373e-04	-8.189551e-03
5.011492121662017e-04	-2.888260e-04	-9.200863e-03
5.013205886336064e-04	-3.318963e-04	-1.018312e-02
5.015224092163740e-04	-3.826173e-04	-1.160238e-02
5.016231352796717e-04	-4.079313e-04	-1.242135e-02
5.017395139627141e-04	-4.371789e-04	-1.346494e-02
5.018784895151216e-04	-4.721049e-04	-1.483395e-02
5.020551087210767e-04	-5.164908e-04	-1.672518e-02
5.024805943329263e-04	-6.234161e-04	-2.160693e-02
5.027431569864577e-04	-6.893964e-04	-2.450603e-02
5.031158615612135e-04	-7.830514e-04	-2.816938e-02
5.034369179731653e-04	-8.637246e-04	-3.082757e-02
5.036460834264612e-04	-9.162806e-04	-3.222750e-02
5.039674916825074e-04	-9.970361e-04	-3.397639e-02
5.042976997744766e-04	-1.079998e-03	-3.542691e-02
5.049581159584148e-04	-1.245909e-03	-3.778422e-02
5.062383771623482e-04	-1.567474e-03	-4.139702e-02
5.199579070160386e-04	-5.002833e-03	-7.618992e-02
5.433954070160386e-04	-1.077182e-02	-1.339150e-01
5.668329070160386e-04	-1.630763e-02	-1.890738e-01
5.902704070160387e-04	-2.149042e-02	-2.405644e-01
6.137079070160387e-04	-2.620802e-02	-2.872930e-01
6.371454070160387e-04	-3.035828e-02	-3.282555e-01
6.586297820160387e-04	-3.358734e-02	-3.599821e-01
6.801141570160387e-04	-3.620529e-02	-3.855438e-01
7.015985320160388e-04	-3.816449e-02	-4.044763e-01
7.230829070160388e-04	-3.942930e-02	-4.164357e-01
